Species,ID,attach.type,Geo.Code,Initial.Age,H.AGE,S.AGE,experience.breeding,Sex,Treatment,Date.of.Initial.fitting,shot.recovered.date,Capture.Lat,Capture.Lon,Recapture.Lat,Recapture.Lon
WODU,110594945,N,H482,SY,AHY,SY,F,F,NEST,4/24/2014,4/2/2015,,,,
WODU,110594945,N,Q856,SY,AHY,ASY,P,F,NEST,5/2/2015,4/4/2016,,,,
WODU,110594985,N,Q854,ASY,AHY,ASY,P,F,NEST,5/20/2015,4/23/2016,,,,
WODU,110594985,N,Q854,ASY,AHY,ASY,P,F,NEST,4/23/2016,5/19/2016,,,,
WODU,116538142,L,H615,ASY,AHY,ASY,P,F,CAPTURE,12/21/2014,1/25/2015,,,,
WODU,116538142,L,H615,ASY,AHY,ASY,P,F,CAPTURE,1/25/2015,4/4/2015,,,,
WODU,116538161,N,Q834,SY,AHY,SY,F,F,CAPTURE,1/25/2015,3/28/2015,,,,
WODU,116538168,L,H646,ASY,AHY,ASY,P,F,CAPTURE,1/25/2015,3/21/2015,,,,
WODU,116538192,N,Q836,SY,AHY,SY,F,F,CAPTURE,1/31/2015,5/1/2015,,,,
WODU,116538194,N,Q833,SY,AHY,ASY,P,F,CAPTURE,3/28/2015,3/15/2016,,,,
WODU,116538194,N,Q833,SY,AHY,ASY,P,F,CAPTURE,3/15/2016,5/16/2016,,,,
WODU,116538229,L,Q120,SY,AHY,SY,F,F,CAPTURE,4/3/2015,10/24/2015,,,,
WODU,116538230,L,Q123,SY,AHY,SY,F,F,CAPTURE,4/3/2015,4/26/2016,,,,
WODU,116538244,N,,AHY,AHY,SY,P,F,CAPTURE,10/24/2015,3/15/2016,,,,
WODU,116538244,N,,AHY,AHY,ASY,P,F,CAPTURE,3/15/2016,5/30/2016,,,,
WODU,116538256,N,,HY,AHY,ASY,P,F,CAPTURE,9/30/2015,4/16/2016,,,,
WODU,116538615,N,,AHY,AHY,ASY,P,F,CAPTURE,10/24/2015,8/25/2017,,,,
WODU,116538676,L,W574,SY,AHY,SY,F,F,CAPTURE,4/15/2016,6/30/2016,,,,
WODU,116538676,L,W574,SY,AHY,SY,F,F,CAPTURE,6/30/2016,12/3/2016,,,39.47,-118.82
WODU,116538680,L,Z253,ASY,AHY,SY,F,F,NEST,5/14/2016,2/25/2017,,,39.47,-118.82
WODU,116538682,L,W578,SY,AHY,SY,F,F,NEST,5/20/2016,4/25/2017,,,39.47,-118.82
WODU,116538686,L,Z273,SY,AHY,SY,F,M,CAPTURE,5/22/2016,9/16/2016,,,39.47,-118.82
WODU,116538687,L,Z271,ASY,AHY,ASY,P,M,CAPTURE,5/22/2016,7/1/2017,,,,
WODU,116538717,L,Z272,SY,AHY,SY,F,F,CAPTURE,6/2/2016,8/25/2017,,,39.47,-118.82
WODU,116538736,L,Z254,ASY,AHY,SY,F,F,CAPTURE,6/7/2016,3/25/2017,,,39.47,-118.82
WODU,116538766,L,Z260,ASY,AHY,ASY,P,F,CAPTURE,6/18/2016,7/11/2017,,,39.47,-118.82
WODU,116591708,L,BB609,SY,AHY,ASY,P,M,CAPTURE,4/14/2017,8/25/2017,,,39.47,-118.82
WODU,116591709,L,BB615,ASY,AHY,ASY,P,M,CAPTURE,4/14/2017,11/8/2017,,,39.2,-118.4
